Hips_x,Hips_y,Hips_z,Spine_x,Spine_y,Spine_z,Spine1_x,Spine1_y,Spine1_z,Spine2_x,Spine2_y,Spine2_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,LeftShoulder_x,LeftShoulder_y,LeftShoulder_z,LeftArm_x,LeftArm_y,LeftArm_z,LeftForeArm_x,LeftForeArm_y,LeftForeArm_z,LeftForeArmRoll_x,LeftForeArmRoll_y,LeftForeArmRoll_z,LeftHand_x,LeftHand_y,LeftHand_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,RightArm_x,RightArm_y,RightArm_z,RightForeArm_x,RightForeArm_y,RightForeArm_z,RightForeArmRoll_x,RightForeArmRoll_y,RightForeArmRoll_z,RightHand_x,RightHand_y,RightHand_z,LeftUpLeg_x,LeftUpLeg_y,LeftUpLeg_z,LeftLeg_x,LeftLeg_y,LeftLeg_z,LeftFoot_x,LeftFoot_y,LeftFoot_z,LeftToeBase_x,LeftToeBase_y,LeftToeBase_z,RightUpLeg_x,RightUpLeg_y,RightUpLeg_z,RightLeg_x,RightLeg_y,RightLeg_z,RightFoot_x,RightFoot_y,RightFoot_z,RightToeBase_x,RightToeBase_y,RightToeBase_z
-155.245858332846,-441.797555387405,1036.41149883886,-164.467142606225,-410.60019950732,1113.08305226667,-187.712135478947,-331.308415302379,1197.34662090729,-207.154881319346,-249.499313326773,1306.3724126981,-227.118512539066,-171.773941724653,1418.25446150539,-228.02847825462,-91.6879144353485,1521.35402841591,-249.205286153203,-207.798250840195,1334.5499973668,-413.909913436029,-220.608185169098,1318.89499099468,-492.965339967421,-153.717004168863,1080.30716718058,-435.344272940416,-43.8663392966479,1047.56932529304,-377.72320591341,65.9843255755654,1014.8314834055,-195.619059119211,-192.822201984375,1332.44423541906,-39.4256866232414,-143.813886449965,1287.47457829102,39.6102027409812,-69.4969978319337,1063.84941702667,-48.4940965259447,34.0334167880011,1036.08806625576,-136.598395792872,137.563831407936,1008.32671548486,-257.92842888308,-487.065148683099,984.937095546799,-405.908404495235,-291.169858002209,513.2491921981,-341.221728679345,-479.946695858279,45.1141415552959,-412.154372653052,-385.405469476658,32.7977962771166,-54.536937874336,-388.343806794314,989.052343511827,-53.9527866142253,-159.93118931025,511.534841443395,10.3647027590398,-320.399905139747,42.7656643137728,-15.2154954867828,-208.679921700486,36.6886723551092
-157.001569028101,-443.424107349635,1034.44911114688,-165.73434380786,-411.446462816135,1110.85593739511,-188.588432964591,-331.723889711926,1194.81942757131,-207.745740732263,-250.343652083931,1304.21607875492,-227.912318178988,-172.640425062764,1416.07711071898,-228.772969698273,-92.6487281204673,1519.25030588602,-249.865369531164,-208.678546581151,1332.34341937303,-414.59170373016,-221.497712546489,1316.92616618997,-494.017844047379,-151.760553074823,1079.27819743125,-436.279951128674,-41.7794589037455,1047.1905537675,-378.542058209969,68.2016352673345,1015.10291010375,-196.288869019823,-193.658433929115,1330.3050844326,-40.1867901365873,-143.938162151378,1285.80238554728,38.3146534886337,-67.9786437399841,1062.54119455468,-50.1101829378385,35.2181530158604,1034.55769335126,-138.535019364312,138.414949771706,1006.57419214785,-260.106388424781,-488.777834499518,983.902942719844,-407.36183432831,-290.56677606534,512.956314931967,-341.466736042824,-480.142733274497,45.3129907525608,-412.002779448896,-385.299497367178,33.0409489054079,-56.3080802343041,-390.837176892413,986.097114792198,-54.8245755334508,-158.152142482393,510.648796028001,10.0953423899036,-320.542407175519,42.6249763182,-15.1997527790921,-208.750587692262,36.6770077368762
-158.056204181647,-444.33569174356,1032.62695665128,-166.643018742635,-412.223879511016,1108.99404598582,-189.427502632975,-332.266979515028,1192.75338679621,-208.55327577877,-250.816126538107,1302.10299200075,-228.700871439346,-173.38226800948,1414.15407298594,-229.440028739755,-93.8231058380323,1517.66211065832,-250.65021728655,-209.18882521997,1330.32012753259,-415.389739862725,-221.794805158175,1314.86804477431,-494.888590133083,-149.502802673294,1078.00914286342,-437.256709604666,-39.2434920519455,1046.69504064549,-379.624829076251,71.0158185694035,1015.38093842755,-197.060788271104,-194.206959507228,1328.34103733384,-41.0051944420173,-144.290940105053,1283.89447045752,37.0522405635417,-67.126894580666,1060.89081261615,-51.4444130342409,36.1416166235398,1033.40329193898,-139.941066632022,139.410127827749,1005.9157712618,-261.295949905984,-489.604269318415,982.2802558757,-408.493920824839,-289.682426089386,512.039328035624,-341.440291448789,-480.194044672036,44.941243954876,-412.004466582134,-385.379385019855,32.6102532953755,-57.339146427503,-391.985797250341,984.067278771794,-55.3621218357747,-157.534275785062,509.489355458172,10.1906937596896,-320.427886869969,41.7287441822141,-15.0702488958513,-208.620469669875,35.9307006822273
-158.767348384047,-444.852130448224,1030.62619870834,-167.248358705243,-412.717933614711,1106.99569563211,-190.125256958183,-332.7108448472,1190.6818892926,-209.357878969549,-251.398717388017,1300.11596527495,-229.55802877774,-174.196012493783,1412.31698626952,-230.163494407093,-95.0380832414656,1516.13305511042,-251.452950938567,-209.804378334483,1328.38445146692,-416.205994587931,-222.183433838158,1312.89311571094,-495.97430467978,-147.194272013729,1076.96519759616,-438.525381009177,-36.6871971737658,1046.19297296005,-381.076457338573,73.8198776661984,1015.42074832393,-197.851488100928,-194.854858222653,1326.48839489019,-41.8669921512071,-144.700150895133,1282.06095942965,35.3581514234999,-66.1822038162815,1059.24019361472,-53.272506747711,37.1262735676068,1032.34090310218,-141.903164918923,140.434750951496,1005.44161258965,-262.112563167347,-489.973342051127,980.363664582597,-409.586007424001,-287.461618417149,511.318782627264,-341.00995120085,-480.158046369693,45.3392794872693,-411.690541415193,-385.456093267585,32.8105096573406,-58.0093935275301,-392.658338919378,981.983397074002,-55.9698101508019,-155.332689409081,508.836479061789,10.1114513913308,-320.721049712557,42.026617581594,-15.2684137964706,-208.94125044323,36.2154222150564
-159.170365742359,-444.95561638456,1028.8585154471,-167.764879276522,-412.945858760766,1105.26757221768,-191.205905999428,-332.824945779145,1188.68833285481,-210.19654978308,-251.908838625226,1298.45769041519,-230.957277650463,-174.114732194727,1410.14673191246,-231.192174916441,-95.6262526769493,1514.47134026536,-252.478878227593,-210.244085661907,1326.34038215718,-417.094862523815,-224.525580957508,1311.03010793676,-496.157864411831,-144.107089213519,1076.65807856872,-438.82063886279,-33.3946948092506,1046.42017981131,-381.483413313748,77.3176995950197,1016.18228105391,-198.902409010941,-195.192333687988,1324.54965346645,-44.3838105805445,-142.033653946999,1278.52126904228,59.9901569830756,-88.7092996864952,1059.33989978455,-37.5674404554421,9.46468095394135,1049.54236925122,-135.125037893962,107.638661594381,1039.74483871789,-262.423836002768,-490.071658634762,978.403157924609,-410.705045698189,-286.089672451371,510.250887373073,-340.963782346822,-480.198893401724,45.0313126477726,-411.898334004039,-385.65455280351,32.7499092307626,-58.3915485548791,-392.615468862638,980.416607396966,-57.2228143790902,-153.478530769662,508.179602556988,10.2243833449789,-320.472039368424,42.1371868574333,-15.2529077211615,-208.712602885156,36.3607632144151
-159.246476726472,-444.883880473906,1027.20386968261,-168.011348638656,-413.169717472803,1103.71676459644,-191.837485610114,-333.121101709794,1187.09781788525,-211.189823502053,-252.247498882201,1296.83532374029,-231.932899102778,-174.849936484152,1408.80279650334,-231.957900277111,-96.9039458594406,1513.5336058299,-253.44621911068,-210.64596999748,1324.85141307452,-418.075121773085,-224.575436443288,1309.35682488688,-497.176209560005,-141.320287867167,1075.99029262806,-440.049301930989,-30.3069454906674,1046.46612509033,-382.922394301974,80.7063968858339,1016.94195755261,-199.854308082212,-195.639555045561,1323.14419807384,-45.4656685798531,-142.247465864898,1276.95017821269,58.0387286309846,-87.5547844062103,1057.6936279232,-39.4538474921298,10.7596772290723,1048.68967703704,-136.946423615244,109.074138864357,1039.68572615088,-262.374332790863,-489.862262760265,976.370121814422,-411.27612111768,-284.330934509475,509.093280103687,-340.827621614377,-479.962743961736,44.618641153879,-412.00059485543,-385.608534516222,32.2547069987052,-58.3988947452693,-392.306364267731,979.163787563651,-57.2427887739072,-151.975048837022,507.533474624991,10.3823239942167,-320.60878064206,42.107864836879,-15.2095625793517,-208.877079460785,36.3015436285864
-159.342470801897,-444.622339248833,1025.48405776874,-168.392813711294,-413.69664296895,1102.28592496882,-192.53127695081,-333.905201940496,1185.82349895291,-212.0563929861,-253.007605299674,1295.51270311188,-232.928817664977,-175.679810716757,1407.50434065884,-232.955189959216,-97.8618636852937,1512.33032468014,-254.339475597727,-211.414097251816,1323.500422742,-418.966447012627,-225.189602879898,1307.84847021698,-498.264496904846,-138.484282952734,1075.80893261265,-441.435050964728,-27.0982136255503,1047.12653620596,-384.605605024609,84.2878557016334,1018.44413979926,-200.741532443441,-196.420193676435,1321.87458583347,-46.5548537725001,-142.464197192649,1275.66124112371,56.2408438584571,-85.9270805848941,1056.53916673089,-41.183241728416,12.4734289514033,1047.73608954869,-138.60732731529,110.873938487702,1038.93301236649,-262.221363231766,-489.339560848313,973.920668850941,-412.412286816695,-281.556316798321,508.054458203094,-340.331777700253,-479.743111375601,44.9152989430672,-412.004845840388,-385.794330738463,32.3544968975186,-58.4938832592638,-391.322625649037,978.248664124804,-57.7156899677883,-150.29117239297,506.975003926443,10.3459946683502,-320.674407759237,42.2507310326715,-15.1577376565994,-208.925115354432,36.3952756487882
-159.829608185865,-444.241403679598,1024.1233309198,-169.209545305654,-413.94045672091,1101.13439243455,-193.509843917119,-334.284971217634,1184.75475390674,-213.028881734549,-253.416149918893,1294.46625609277,-233.91252394575,-176.323718242107,1406.61795368865,-233.826389865324,-99.0021133213247,1511.81055083844,-255.28390145917,-211.830167770286,1322.50749061927,-419.900558964308,-225.355945689298,1306.53259487882,-499.048848169864,-135.441737953482,1075.66613175546,-442.577947819936,-23.6342995367969,1047.9306606396,-386.107047470008,88.1731388798914,1020.19518952374,-201.663577883476,-196.906777208378,1320.97343904724,-47.5571974199203,-142.768207179195,1274.70581104434,54.1026180773413,-84.4365709422228,1055.52418175268,-42.9938926754624,14.3418030662514,1047.35672650705,-140.090403428266,113.120177074729,1039.18927126141,-262.429912638969,-488.792013474875,971.865315411544,-413.219419351248,-279.475768259374,506.879562497578,-340.189918964483,-479.618452589244,44.7312268283027,-412.151246452148,-385.902514698721,32.0795012793698,-58.9493628512281,-390.338066159606,977.646607742589,-57.8336762698864,-149.363235715861,506.344670364488,10.55385287476,-320.852707981756,42.0753558653653,-14.9788212579902,-209.106477486737,36.2879907468648
-160.344024200196,-444.049320752159,1023.12651623466,-169.943543681861,-414.273988696352,1100.31533038075,-194.440434584054,-334.716990498258,1183.97208211032,-214.091578109743,-253.939976509771,1293.7276258278,-234.976941971514,-177.112841142534,1406.06090520265,-234.83664952026,-100.223931615035,1511.57012949808,-256.322451305245,-212.379600122654,1321.84310022659,-420.983103902159,-225.294715547993,1305.81633603962,-500.245792191056,-131.644899063953,1076.4792950939,-443.866867039337,-19.6224784455983,1049.43273695441,-387.487941887615,92.3999421727569,1022.38617881493,-202.684575297422,-197.51142132546,1320.38861850616,-48.7202118761954,-142.992146290842,1274.09522684607,51.7646314056733,-82.5713284620507,1054.93773658967,-45.1750370900563,16.3967039801784,1047.2152937269,-142.114705585788,115.364736422408,1039.49285086412,-262.751632483099,-488.437678380065,970.354980680587,-413.742405044675,-277.760395397328,506.049709016688,-340.038439397958,-479.589717823577,44.7427220369803,-412.096739516196,-385.96626233401,31.9589121934352,-59.4618304096484,-389.66007526545,977.2236574647,-58.0493579579569,-148.685888992014,505.922186735274,10.4907576095111,-320.591218093984,41.8292003517557,-15.0620805628894,-208.846497551732,36.1019876353048
-161.214192429192,-444.478651357267,1022.35039866428,-170.927315623284,-415.117935997179,1099.68368925735,-195.343419490655,-335.501539198073,1183.30754332289,-214.848961539988,-254.809339231759,1293.15141207048,-235.831840315493,-178.134272922561,1405.57038650209,-235.846320071947,-101.433621743172,1511.21663774045,-257.092929540905,-213.268294127042,1321.2757818609,-421.786805493844,-225.44565084771,1305.01456735239,-500.289884000084,-127.374657238757,1077.26978231964,-443.816643784527,-15.1841251734256,1051.13207231849,-387.343403568966,97.0064068919086,1024.99436231733,-203.445824547013,-198.425215034246,1319.90788958797,-49.595745873105,-143.377953239085,1273.86001313003,49.3803763839023,-80.0644642488146,1054.83258601916,-47.1687926809534,19.3200597294922,1047.58129345799,-143.717961745813,118.7045837078,1040.33000089682,-263.508214160665,-488.744817245793,969.256904077911,-414.366130955842,-276.955824484269,505.414444029357,-340.006528676196,-479.603243243089,44.5715647325322,-412.057545393719,-385.974242178328,31.7873174946488,-60.3718490466445,-389.702732732948,976.821286968126,-58.3122824494957,-148.499313371422,505.639476502112,10.4421402241316,-320.460568592506,41.5989117972194,-15.0647650785882,-208.698479017275,36.0074729049446
